,timecode,transcript,polarity,neg,neu,pos,compound
0,00:00:00.00 - 00:00:01.42,sounds very official.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
1,00:00:01.43 - 00:00:05.02,This session is now being recorded Alright.,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.25}",0.0,0.75,0.25,0.25
2,00:00:05.03 - 00:00:08.19,"Very official, very official.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
3,00:00:08.20 - 00:00:25.86,Um Okay so we are working on some research with consultants as well as um in house sustainability professionals to improve our products and um I'm a senior product designer here.,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.7096}",0.0,0.796,0.204,0.7096
4,00:00:25.87 - 00:00:36.86,I basically have been talking to a lot of different people and well you know it helps us gain information to make our products better so there's no right or wrong answers.,"{'neg': 0.137, 'neu': 0.591, 'pos': 0.271, 'compound': 0.6621}",0.137,0.591,0.271,0.6621
5,00:00:36.87 - 00:00:45.22,"Um it's you know, your experience, that's a valuable thing here and usually we we take about 45 minutes.","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.4767}",0.0,0.846,0.154,0.4767
6,00:00:45.23 - 00:00:53.17,"Um I booked for an hour but it doesn't have to be 45 you know, it's whenever we have like a good conversation around then.","{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7964}",0.0,0.747,0.253,0.7964
7,00:00:53.18 - 00:01:19.59,"Um Well I'm gonna ask you questions about just high level general like how you got started and then we can talk about more specific tasks you have issues with that you would love like software solutions for but yeah, before you know I keep going um it would be great to hear about your experience and and how you got into carbon accounting and sustainability.","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9377}",0.0,0.769,0.231,0.9377
8,00:01:20.16 - 00:01:20.97,Sure.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.0,0.0,1.0,0.3182
9,00:01:20.98 - 00:01:22.48,So my name is name-extracted.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
10,00:01:22.48 - 00:01:24.81,I'm a senior associate here at company-name-extracted.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
