,0
0,sounds
1,very
2,official.
3,this
4,session
5,is
6,now
7,being
8,recorded
9,alright.
10,very
11,"official,"
12,very
13,official.
14,um
15,okay
16,so
17,we
18,are
19,working
20,on
21,some
22,research
23,with
24,consultants
25,as
26,well
27,as
28,um
29,in
30,house
31,sustainability
32,professionals
33,to
34,improve
35,our
36,products
37,and
38,um
39,i'm
40,a
41,senior
42,product
43,designer
44,here.
45,i
46,basically
47,have
48,been
49,talking
50,to
51,a
52,lot
53,of
54,different
55,people
56,and
57,well
58,you
59,know
60,it
61,helps
62,us
63,gain
64,information
65,to
66,make
67,our
68,products
69,better
70,so
71,there's
72,no
73,right
74,or
75,wrong
76,answers.
77,um
78,it's
79,you
80,"know,"
81,your
82,"experience,"
83,that's
84,a
85,valuable
86,thing
87,here
88,and
89,usually
90,we
91,we
92,take
93,about
94,45
95,minutes.
96,um
97,i
98,booked
99,for
100,an
101,hour
102,but
103,it
104,doesn't
105,have
106,to
107,be
108,45
109,you
110,"know,"
111,it's
112,whenever
113,we
114,have
115,like
116,a
117,good
118,conversation
119,around
120,then.
121,um
122,well
123,i'm
124,gonna
125,ask
126,you
127,questions
128,about
129,just
130,high
131,level
132,general
133,like
134,how
135,you
136,got
137,started
138,and
139,then
140,we
141,can
142,talk
143,about
144,more
145,specific
146,tasks
147,you
148,have
149,issues
150,with
151,that
152,you
153,would
154,love
155,like
156,software
157,solutions
158,for
159,but
160,"yeah,"
161,before
162,you
163,know
164,i
165,keep
166,going
167,um
168,it
169,would
170,be
171,great
172,to
173,hear
174,about
175,your
176,experience
177,and
178,and
179,how
180,you
181,got
182,into
183,carbon
184,accounting
185,and
186,sustainability.
187,sure.
188,so
189,my
190,name
191,is
192,name-extracted.
193,i'm
194,a
195,senior
196,associate
197,here
198,at
199,company-name-extracted.
200,we
201,are
202,a
203,full
204,service
205,e.s.g.
206,uh
207,consultancy
208,firm.
209,so
210,we
211,do
212,everything
213,from
214,the
215,more
216,qualitative
217,report
218,writing
219,gap
220,"analysis,"
221,materiality
222,assessments
223,all
224,the
225,way
226,to
227,the
228,more
229,technical
230,side
231,of
232,things
233,which
234,involves
235,mainly
236,carbon
237,accounting
238,which
239,is
240,what
241,i
242,do.
243,um
244,i
245,joined
246,company-name-extracted
247,after
248,previously
249,being
250,at
251,a
252,firm
253,that
254,specialized
255,in
256,um
257,third
258,party
259,assurance
260,and
261,verification.
262,so
263,primarily
264,over
265,carbon
266,greenhouse
267,gas
268,emissions
269,"data,"
270,but
271,we
272,also
273,touched
274,on
275,like
276,water
277,and
278,waste
279,and
280,dna
281,metrics
282,as
283,well.
284,um
285,but
286,that
287,really
288,allowed
289,me
290,to
291,get
292,a
293,a
294,lot
295,of
296,exposure
297,to
298,a
299,lot
300,of
301,different
302,industries
303,and
304,how
305,they
306,all
307,tackled
308,their
309,various
310,unique
311,issues
312,when
313,it
314,came
315,to
316,carbon
317,accounting.
318,prior
319,to
320,that.
321,um
322,my
323,master's
324,"degree,"
325,my
326,master's
327,degree
328,was
329,actually
330,from
331,colorado
332,state
333,in
334,greenhouse
335,"gas,"
336,so
337,very
338,specific
339,to
340,"the,"
341,to
342,the
343,work
344,that
345,i'm
346,doing
347,now.
348,so
349,i'm
350,"pretty,"
351,i'm
352,pretty
353,lucky
354,that
355,this
356,job
357,exists.
358,um
359,and
360,then
361,prior
362,to
363,"that,"
364,prior
365,to
366,that
367,i
368,my
369,undergraduate
370,degree
371,in
372,environmental
373,science
374,and
375,so
376,really
377,if
378,you
379,want
380,to
381,start
382,the
383,first
384,thing
385,"i,"
386,the
387,first
388,time
389,i
390,ever
391,really
392,uh
393,um
394,got
395,any
396,experience
397,with
398,carbon
399,accounting
400,at
401,all
402,was
403,doing
404,research
405,on
406,permafrost
407,carbon
408,in
409,alaska
410,and
411,how
412,that
413,is
414,affecting
415,the
416,carbon
417,cycle
418,and
419,how
420,permafrost
421,thaw
422,is
423,exposing
424,more
425,carbon
426,to
427,be
428,to
429,be
430,um
431,to
432,be
433,released.
434,so
435,kind
436,of
437,that
438,was
439,a
440,backwards
441,looking
442,way.
443,but
444,"yeah,"
445,started
446,from
447,an
448,environmental
449,science
450,perspective.
451,um
452,kind
453,of
454,moved
455,into
456,it.
457,um
458,looking
459,at
460,inventories
